,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
474,0.18,0.369,0.306,0.104,0.379,9.08,3.1,3.4,0,Below Median Income,1,0,1
1335,0.172,0.308,0.257,0.109,0.251,16.08,2.7,3,1,Above Median Income,0,0,0
1545,0.242,0.327,0.295,0.111,0.415,15.2,3.8,5.2,0,Below Median Income,0,0,0
280,0.185,0.287,0.211,0.184,0.235,6.86,2.7,3,1,Above Median Income,0,0,0
1417,0.086,0.311,0.183,0.074,0.077,15.23,3.1,4,1,Above Median Income,0,0,0
403,0.279,0.352,0.302,0.168,0.167,28.3,4.8,4.2,0,Below Median Income,0,0,0
817,0.21,0.282,0.245,0.173,0.292,11.33,4,3.4,1,Above Median Income,0,0,0
799,0.201,0.394,0.343,0.093,0.167,12.02,3.8,4.9,0,Below Median Income,0,0,0
632,0.149,0.273,0.205,0.169,0.316,9.56,3.2,2.7,1,Above Median Income,0,0,0
1454,0.333,0.303,0.292,0.128,0.079,13.82,2.5,3.6,0,Below Median Income,1,0,1
784,0.306,0.4,0.4,0.163,0.191,4.64,3.7,4.8,0,Below Median Income,0,0,0
1547,0.234,0.306,0.297,0.101,0.346,25.51,4.3,4.6,1,Above Median Income,1,1,0
365,0.294,0.365,0.309,0.143,0,23.36,5,5.2,0,Below Median Income,0,0,0
593,0.216,0.353,0.352,0.179,0.3,45.2,7.1,4.1,0,Below Median Income,0,0,0
918,0.125,0.214,0.197,0.17,0.246,6.8,2.8,2.5,1,Above Median Income,0,0,0
