title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'The Little Bedroom', 3 theaters,N/A,"b'$7,700'",Cinema Libre,"September 26, 2014",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',"b'$7,440'"
b'Little Girl (La Pivellina)', 1 theaters, 21 days / 3 weeks,"b'$1,500'",First Run,"September 2, 2011",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$237,435'"
b'Little White Lies', 14 theaters,N/A,"b'$228,600'",MPI Media Group,"August 24, 2012",b'Foreign',b'2 hrs. 34 min.',b'Unrated',b'N/A',"b'$48,531,470'"
b'Live Flesh',N/A,N/A,"b'$3,163,900'",MGM,"January 16, 1998",b'Foreign',b'1 hrs. 43 min.',b'R',b'N/A',N/A
b'Live in Maid', 6 theaters, 93 days / 13.3 weeks,"b'$252,300'",Film Sales Company,"July 18, 2007",b'Foreign',b'1 hrs. 23 min.',b'Unrated',b'N/A',N/A
b'The Lives of Others', 259 theaters, 217 days / 31 weeks,"b'$14,206,100'",Sony Classics,"February 9, 2007",b'Foreign',b'2 hrs. 17 min.',b'R',b'$2 million',"b'$77,356,942'"
b'Living is Easy with Eyes Closed', 1 theaters, 3 days / 0.4 weeks,"b'$12,100'",Outsider Pictures,"June 27, 2014",b'Foreign',b'1 hrs. 48 min.',b'Unrated',b'N/A',"b'$2,603,425'"
b'Lola Montes (re-issue)', 4 theaters, 168 days / 24 weeks,"b'$143,600'",Rialto,"October 10, 2008",b'Foreign',b'1 hrs. 55 min.',b'Unrated',b'N/A',"b'$280,314'"
b'London Dreams', 82 theaters, 14 days / 2 weeks,"b'$362,200'",Studio 18,"October 30, 2009",b'Foreign',b'2 hrs. 30 min.',b'Unrated',b'N/A',"b'$579,692'"
b'Look at Me', 75 theaters, 140 days / 20 weeks,"b'$2,347,100'",Sony Classics,"April 1, 2005",b'Foreign',b'1 hrs. 50 min.',b'PG-13',b'N/A',"b'$18,729,751'"
b'Looking for Cheyenne', 1 theaters, 49 days / 7 weeks,"b'$1,200'",Regent Releasing,"December 7, 2007",b'Foreign',b'1 hrs. 25 min.',b'R',b'N/A',b'$973'
b'Lootera', 100 theaters, 16 days / 2.3 weeks,"b'$601,300'",Eros,"July 3, 2013",b'Foreign',b'2 hrs. 16 min.',b'Unrated',b'N/A',"b'$581,813'"
b'Lore', 54 theaters, 147 days / 21 weeks,"b'$1,033,000'",Music Box Films,"February 8, 2013",b'Foreign',b'1 hrs. 49 min.',b'Unrated',b'N/A',"b'$970,325'"
"b""Lorna's Silence""", 23 theaters, 126 days / 18 weeks,"b'$392,200'",Sony Classics,"July 31, 2009",b'Foreign',b'1 hrs. 45 min.',b'R',b'N/A',"b'$5,123,676'"
b'Los Muertos', 1 theaters, 7 days / 1 weeks,"b'$3,800'",Facets,"April 6, 2007",b'Foreign',b'1 hrs. 18 min.',b'Unrated',b'N/A',"b'$31,516'"
b'Lost Embrace', 6 theaters,N/A,"b'$257,800'",New Yorker,"January 28, 2005",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$2,181,441'"
