title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Where Do We Go Now?', 37 theaters, 126 days / 18 weeks,"b'$572,700'",Sony Classics,"May 11, 2012",b'Foreign',b'1 hrs. 50 min.',b'PG-13',b'N/A',"b'$531,997'"
b'White', 38 theaters,N/A,"b'$2,563,200'",Miramax,"June 10, 1994",b'Foreign',b'1 hrs. 31 min.',b'R',b'N/A',N/A
b'The White Balloon',N/A,N/A,"b'$1,812,200'",October,"January 24, 1996",b'Foreign',b'1 hrs. 25 min.',b'Unrated',b'N/A',N/A
b'White Elephant', 1 theaters, 49 days / 7 weeks,"b'$9,200'",Strand,"March 29, 2013",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',"b'$4,387,907'"
b'White God', 29 theaters, 91 days / 13 weeks,"b'$284,700'",Magnolia,"March 27, 2015",b'Foreign',b'1 hrs. 59 min.',b'R',b'N/A',"b'$282,358'"
b'White Material', 21 theaters, 77 days / 11 weeks,"b'$330,000'",IFC,"November 19, 2010",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',N/A
b'White Palms',N/A,N/A,N/A,Strand,N/A,b'Foreign',b'1 hrs. 37 min.',b'Unrated',b'N/A',"b'$42,630'"
b'White Rainbow', 1 theaters, 112 days / 16 weeks,"b'$13,500'",Indican,"April 7, 2006",b'Foreign',b'1 hrs. 34 min.',b'PG-13',b'N/A',N/A
b'The White Ribbon', 106 theaters, 156 days / 22.3 weeks,"b'$2,421,400'",Sony Classics,"December 30, 2009",b'Foreign',b'2 hrs. 24 min.',b'R',b'$18 million',"b'$19,319,444'"
b'Who Killed Bambi?', 1 theaters, 56 days / 8 weeks,"b'$20,100'",Strand,"November 12, 2004",b'Foreign',b'2 hrs. 6 min.',b'Unrated',b'N/A',N/A
"b""The Whore's Son""", 1 theaters, 56 days / 8 weeks,"b'$10,100'",Picture This!,"April 28, 2006",b'Foreign',b'1 hrs. 26 min.',b'Unrated',b'N/A',N/A
"b""Whores' Glory""", 3 theaters, 126 days / 18 weeks,"b'$33,900'",Kino Lorber,"April 27, 2012",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
"b""Why Don't You Play in Hell""", 11 theaters, 98 days / 14 weeks,"b'$30,000'",Drafthouse,"November 7, 2014",b'Foreign',b'2 hrs. 9 min.',b'Unrated',b'N/A',"b'$1,228,534'"
b'The Widow of St. Pierre', 83 theaters,N/A,"b'$4,703,700'",Lions Gate,"March 2, 2001",b'Foreign',b'1 hrs. 52 min.',b'R',b'N/A',"b'$7,074,234'"
b'The Wild Child (re-issue)', 2 theaters, 392 days / 56 weeks,"b'$75,800'",The Film Desk,"November 7, 2008",b'Foreign',b'1 hrs. 23 min.',b'G',b'N/A',N/A
b'Wild Grass', 23 theaters, 140 days / 20 weeks,"b'$440,000'",Sony Classics,"June 25, 2010",b'Foreign',b'1 hrs. 44 min.',b'PG',b'N/A',"b'$4,601,350'"
b'Wild Reeds',N/A,N/A,"b'$1,608,100'",Strand,"May 10, 1995",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
b'Wild Side', 2 theaters, 63 days / 9 weeks,"b'$20,700'",Wellspring,"June 10, 2005",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'Wild Tales', 122 theaters, 147 days / 21 weeks,"b'$3,212,100'",Sony Classics,"February 20, 2015",b'Foreign',b'2 hrs. 2 min.',b'R',b'N/A',"b'$27,006,530'"
b'Will You Still Love Me Tomorrow', 3 theaters, 14 days / 2 weeks,"b'$7,300'",Film Movement,"January 17, 2014",b'Foreign',b'1 hrs. 44 min.',b'Unrated',b'N/A',N/A
b'The Willow Tree', 2 theaters, 91 days / 13 weeks,"b'$32,200'",New Yorker,"August 3, 2007",b'Foreign',b'1 hrs. 36 min.',b'Unrated',b'N/A',"b'$51,499'"
b'Wings of Desire', 29 theaters,N/A,"b'$6,763,900'",Orion Classics,"April 29, 1988",b'Foreign',b'2 hrs. 8 min.',b'PG-13',b'N/A',"b'$3,210,139'"
b'Winter in Wartime', 26 theaters, 140 days / 20 weeks,"b'$585,200'",Sony Classics,"March 18, 2011",b'Foreign',b'1 hrs. 43 min.',b'R',b'N/A',"b'$9,195,514'"
b'Winter Sleepers', 3 theaters,N/A,"b'$519,000'",Winstar,"March 17, 2000",b'Foreign',b'2 hrs. 2 min.',b'Unrated',b'N/A',N/A
b'With a Friend Like Harry', 220 theaters,N/A,"b'$5,860,700'",Miramax,"April 20, 2001",b'Foreign',b'1 hrs. 57 min.',b'R',b'N/A',"b'$15,472,186'"
b'The Witnesses', 6 theaters, 112 days / 16 weeks,"b'$94,600'",Strand,"February 1, 2008",b'Foreign',b'1 hrs. 52 min.',b'Unrated',b'N/A',"b'$3,041,093'"
b'A Woman in Berlin', 9 theaters, 133 days / 19 weeks,"b'$339,400'",Strand,"July 17, 2009",b'Foreign',b'2 hrs. 11 min.',b'Unrated',b'N/A',N/A
b'Woman Is the Future of Man', 1 theaters, 35 days / 5 weeks,"b'$15,600'",New Yorker,"March 3, 2006",b'Foreign',b'1 hrs. 28 min.',b'Unrated',b'N/A',N/A
b'Woman on the Beach', 1 theaters, 135 days / 19.3 weeks,"b'$28,600'",New Yorker,"January 9, 2008",b'Foreign',b'1 hrs. 40 min.',b'Unrated',b'N/A',"b'$749,147'"
b'The Woman with the Five Elephants', 1 theaters, 51 days / 7.3 weeks,"b'$12,000'",Cinema Guild,"July 20, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',N/A
b'The Women on the 6th Floor', 17 theaters, 266 days / 38 weeks,"b'$791,400'",Strand,"October 7, 2011",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$23,267,311'"
b'Women on the Verge of a Nervous Breakdown',N/A,N/A,"b'$15,127,200'",Orion Classics,"November 11, 1988",b'Foreign',b'1 hrs. 28 min.',b'R',b'N/A',N/A
b'Women Who Flirt (Sajiao Nvren)', 27 theaters, 47 days / 6.7 weeks,"b'$392,100'",China Lion,"November 26, 2014",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$375,495'"
b'Wonderful Town', 1 theaters, 14 days / 2 weeks,"b'$5,400'",Kino,"July 18, 2008",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',"b'$277,233'"
b'The World', 3 theaters, 119 days / 17 weeks,"b'$86,600'",Zeitgeist,"July 1, 2005",b'Foreign',b'2 hrs. 19 min.',b'Unrated',b'N/A',"b'$64,123'"
b'The World According to Shorts', 1 theaters, 133 days / 19 weeks,"b'$16,800'",New Yorker,"July 21, 2006",b'Foreign',b'1 hrs. 20 min.',b'Unrated',b'N/A',N/A
