title,theaters,release,domestic,distributor,release,genre,runtime,rating,budget,worldwide
b'Settai', 33 theaters, 28 days / 4 weeks,"b'$90,800'",UTV Communications,"April 5, 2013",b'Foreign',b'2 hrs. 16 min.',b'Unrated',b'N/A',N/A
b'Seven Samurai (re-issue)', 4 theaters, 392 days / 56 weeks,"b'$399,800'",Cowboy,"August 30, 2002",b'Foreign / Action',b'3 hrs. 27 min.',b'Unrated',b'N/A',"b'$271,841'"
b'Sex and Lucia', 33 theaters,N/A,"b'$2,377,100'",Palm,"July 12, 2002",b'Foreign',b'2 hrs. 8 min.',b'R',b'N/A',"b'$7,640,680'"
b'Sex and Zen 3D:<br/>Extreme Ecstasy', 10 theaters, 63 days / 9 weeks,"b'$167,100'",China Lion,"August 12, 2011",b'Foreign',b'2 hrs. 9 min.',b'Unrated',b'$3.5 million',"b'$6,369,363'"
b'Sex is Comedy', 4 theaters, 93 days / 13.3 weeks,"b'$56,300'",IFC,"October 20, 2004",b'Foreign',b'1 hrs. 32 min.',b'R',b'N/A',"b'$40,470'"
b'Shaadi Karke Phas Gaye Yaar', 27 theaters, 28 days / 4 weeks,"b'$295,000'",Eros,"August 4, 2006",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$4,423,137'"
b'Shaadi Ke Side Effects', 108 theaters, 28 days / 4 weeks,"b'$1,002,300'",Eros,"February 28, 2014",b'Foreign',b'2 hrs. 33 min.',b'Unrated',b'N/A',"b'$921,277'"
b'Shaadi No. 1', 45 theaters, 29 days / 4.1 weeks,"b'$455,000'",Eros,"November 3, 2005",b'Foreign',b'2 hrs. 13 min.',b'Unrated',b'N/A',"b'$502,389'"
b'Shaadi Se Pehle', 23 theaters, 14 days / 2 weeks,"b'$147,700'",Rainbow Films,"April 7, 2006",b'Foreign',b'2 hrs. 8 min.',b'Unrated',b'N/A',"b'$331,676'"
b'Shahid', 16 theaters, 3 days / 0.4 weeks,"b'$13,400'",UTV Communications,"October 18, 2013",b'Foreign',b'1 hrs. 45 min.',b'Unrated',b'N/A',N/A
b'Shall We Dance?',N/A,N/A,"b'$17,922,000'",Miramax,"July 11, 1997",b'Foreign',b'2 hrs. 15 min.',b'PG',b'N/A',"b'$9,499,091'"
b'Shall We Kiss?', 33 theaters, 252 days / 36 weeks,"b'$621,500'",Music Box Films,"March 27, 2009",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',"b'$2,936,437'"
b'Shamitabh', 137 theaters, 14 days / 2 weeks,"b'$346,200'",Eros,"February 6, 2015",b'Foreign',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$324,597'"
b'Shanghai Red', 3 theaters, 203 days / 29 weeks,"b'$33,100'",Indican,"February 12, 2010",b'Foreign',b'1 hrs. 38 min.',b'R',b'N/A',N/A
b'Shanghai Triad', 43 theaters,N/A,"b'$4,098,400'",Sony Classics,"December 20, 1995",b'Foreign',b'1 hrs. 43 min.',b'R',b'N/A',N/A
b'Shaolin', 11 theaters, 35 days / 5 weeks,"b'$72,100'",Variance Films,"September 9, 2011",b'Foreign',b'2 hrs. 19 min.',b'R',b'N/A',"b'$33,662,874'"
b'Shaolin Soccer', 14 theaters, 147 days / 21 weeks,"b'$682,800'",Miramax,"April 2, 2004",b'Foreign / Action',b'1 hrs. 26 min.',b'PG',b'N/A',"b'$42,776,760'"
"b""She's One of Us""", 1 theaters, 7 days / 1 weeks,"b'$2,500'",Leisure Time,"January 21, 2005",b'Foreign',b'1 hrs. 42 min.',b'Unrated',b'N/A',N/A
b'Shiri', 7 theaters,N/A,"b'$146,800'",IDP,"February 8, 2002",b'Foreign / Action',b'2 hrs. 5 min.',b'R',b'N/A',N/A
b'Shirin Farhad Ki Toh Nikal Padi', 54 theaters, 7 days / 1 weeks,"b'$173,400'",Eros,"August 24, 2012",b'Foreign',b'N/A',b'Unrated',b'N/A',"b'$155,758'"
b'Shoot the Piano Player (re-issue)', 1 theaters, 7 days / 1 weeks,"b'$24,900'",Janus Films,"September 5, 2008",b'Foreign',b'1 hrs. 32 min.',b'Unrated',b'N/A',N/A
b'Shootout at Lokhandwala', 34 theaters, 21 days / 3 weeks,"b'$364,100'",Rainbow Films,"May 25, 2007",b'Foreign',b'2 hrs. 5 min.',b'Unrated',b'N/A',"b'$9,291,694'"
b'Shootout at Wadala', 89 theaters, 28 days / 4 weeks,"b'$381,900'",Eros,"May 3, 2013",b'Foreign / Action',b'2 hrs. 35 min.',b'Unrated',b'N/A',"b'$369,573'"
"b'Short Kut, The Con Is On'", 40 theaters, 21 days / 3 weeks,"b'$121,000'",Studio 18,"July 10, 2009",b'Foreign',b'2 hrs. 22 min.',b'Unrated',b'N/A',N/A
b'Shoujyo:<br/>The Adolescent', 2 theaters, 252 days / 36 weeks,"b'$87,400'",Indican,"August 26, 2005",b'Foreign',b'2 hrs. 2 min.',b'Unrated',b'N/A',N/A
b'Show Me Love', 7 theaters,N/A,"b'$288,700'",Strand,"October 15, 1999",b'Foreign',b'1 hrs. 29 min.',b'Unrated',b'N/A',N/A
b'Shower', 46 theaters,N/A,"b'$1,860,200'",Sony / Columbia,"July 7, 2000",b'Foreign',b'1 hrs. 32 min.',b'PG-13',b'N/A',"b'$2,150,929'"
b'Shwaas', 1 theaters, 7 days / 1 weeks,"b'$2,000'",Kathi Arts,"December 10, 2004",b'Foreign',b'1 hrs. 47 min.',b'Unrated',b'N/A',N/A
b'Siddharth', 6 theaters, 63 days / 9 weeks,"b'$62,900'",Zeitgeist,"June 27, 2014",b'Foreign',b'1 hrs. 37 min.',b'Unrated',b'N/A',"b'$60,537'"
b'Sidewalls', 1 theaters,N/A,"b'$2,600'",IFC,"October 26, 2011",b'Foreign',b'1 hrs. 33 min.',b'Unrated',b'N/A',N/A
b'Sikandar', 9 theaters, 7 days / 1 weeks,"b'$2,300'",AdLabs,"August 21, 2009",b'Foreign',b'1 hrs. 50 min.',b'Unrated',b'N/A',N/A
